,CountryID,TechID,Year,Description,TransTypeID,DemandShareP,AveCapacityP,AveLoadFactorP,AveCapacityF,AveLoadFactorF,CargoFactor,AveNumTrips,AveTripLength,ExpectLife,FailSteep
82,9,4010,2094,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
83,9,4010,2095,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
84,9,4010,2096,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
85,9,4010,2097,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
86,9,4010,2098,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
87,9,4010,2099,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
88,9,4010,2100,Air - Aeroplane - General Aviation - Aviation fuel (Jet A-1) - Standard 1 - Passenger Transport,1,0.002,4,0.5,0,0.0,0,530.97,250,38,15
89,9,4040,2012,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
90,9,4040,2013,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
91,9,4040,2014,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
92,9,4040,2015,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
93,9,4040,2016,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
94,9,4040,2017,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
95,9,4040,2018,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
96,9,4040,2019,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
97,9,4040,2020,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
98,9,4040,2021,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
99,9,4040,2022,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
100,9,4040,2023,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
101,9,4040,2024,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
102,9,4040,2025,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
103,9,4040,2026,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
104,9,4040,2027,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
105,9,4040,2028,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
106,9,4040,2029,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
107,9,4040,2030,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
108,9,4040,2031,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
109,9,4040,2032,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
110,9,4040,2033,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
111,9,4040,2034,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
112,9,4040,2035,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
113,9,4040,2036,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
114,9,4040,2037,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
115,9,4040,2038,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
116,9,4040,2039,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
117,9,4040,2040,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
118,9,4040,2041,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
119,9,4040,2042,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
120,9,4040,2043,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
121,9,4040,2044,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
