,ScenarioID,CountryID,TechID,Year,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
167,1,9,90,2013,22,1,3,1,3,1,11.2401170730591
168,1,9,90,2013,23,1,3,1,3,1,1.07843399047852
169,1,9,90,2013,24,1,3,1,3,1,0.0535705797374249
170,1,9,90,2013,25,1,3,1,3,1,0.00113329803571105
171,1,9,90,2013,26,1,3,1,3,1,1.03363036032533e-05
172,1,9,90,2013,27,1,3,1,3,1,3.85238223543638e-08
173,1,9,90,2013,28,1,3,1,3,1,5.18756738954185e-11
174,1,9,90,2013,29,1,3,1,3,1,1.98850521958933e-14
175,1,9,90,2013,30,1,3,1,3,1,1.9947576277002e-18
176,1,9,90,2013,31,1,3,1,3,1,3.36089550167289e-23
177,1,9,90,2013,32,1,3,1,3,1,9.65167333270335e-29
178,1,9,90,2013,33,1,3,1,3,1,3.3376047005328e-35
179,1,9,91,2012,0,1,3,1,14,1,6.1616440031817e-13
180,1,9,91,2012,1,1,3,1,14,1,5.43326559958313e-13
181,1,9,91,2012,2,1,3,1,14,1,5.05446108144819e-13
182,1,9,91,2012,3,1,3,1,14,1,4.47706243822746e-13
183,1,9,91,2013,1,1,3,1,14,1,6.15728822095374e-13
184,1,9,91,2013,2,1,3,1,14,1,5.42516931986009e-13
185,1,9,91,2013,3,1,3,1,14,1,5.03984115725331e-13
186,1,9,91,2013,4,1,3,1,14,1,4.45354175629756e-13
187,1,9,100,2012,13,1,3,1,4,1,391001.15625
188,1,9,100,2012,14,1,3,1,4,1,264777.34375
189,1,9,100,2012,15,1,3,1,4,1,176955.796875
190,1,9,100,2012,16,1,3,1,4,1,103260.2421875
191,1,9,100,2013,14,1,3,1,4,1,292771.34375
192,1,9,100,2013,15,1,3,1,4,1,180182.890625
193,1,9,100,2013,16,1,3,1,4,1,106739.40625
194,1,9,100,2013,17,1,3,1,4,1,53580.1796875
195,1,9,110,2012,8,1,3,1,5,1,526397.9375
196,1,9,110,2012,9,1,3,1,5,1,457689.4375
197,1,9,110,2012,10,1,3,1,5,1,440114.875
198,1,9,110,2012,11,1,3,1,5,1,386089.53125
199,1,9,110,2012,12,1,3,1,5,1,293083.15625
200,1,9,110,2013,9,1,3,1,5,1,498638.4375
