,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
327,1,9,2025,8,11,1.0
328,1,9,2025,8,12,1.0
329,1,9,2025,9,5,1.0
330,1,9,2025,9,6,1.0
331,1,9,2025,9,7,1.0
332,1,9,2025,10,9,1.0
333,1,9,2025,10,13,1.0
334,1,9,2025,11,9,1.0
335,1,9,2025,11,13,1.0
336,1,9,2026,4,1,0.964962088345597
337,1,9,2026,4,2,0.964962088345597
338,1,9,2026,4,3,0.964962088345597
339,1,9,2026,5,1,1.20833010081351
340,1,9,2026,5,2,1.20833010081351
341,1,9,2026,5,3,1.20833010081351
342,1,9,2026,6,1,0.990297343992831
343,1,9,2026,6,2,0.990297343992831
344,1,9,2026,6,3,0.990297343992831
345,1,9,2026,7,4,1.0
346,1,9,2026,7,10,1.0
347,1,9,2026,7,11,1.0
348,1,9,2026,7,12,1.0
349,1,9,2026,8,4,1.0
350,1,9,2026,8,10,1.0
351,1,9,2026,8,11,1.0
352,1,9,2026,8,12,1.0
353,1,9,2026,9,5,1.0
354,1,9,2026,9,6,1.0
355,1,9,2026,9,7,1.0
356,1,9,2026,10,9,1.0
357,1,9,2026,10,13,1.0
358,1,9,2026,11,9,1.0
359,1,9,2026,11,13,1.0
360,1,9,2027,4,1,0.965368510162828
361,1,9,2027,4,2,0.965368510162828
362,1,9,2027,4,3,0.965368510162828
363,1,9,2027,5,1,1.20833010081351
364,1,9,2027,5,2,1.20833010081351
365,1,9,2027,5,3,1.20833010081351
366,1,9,2027,6,1,0.990297343992831
367,1,9,2027,6,2,0.990297343992831
368,1,9,2027,6,3,0.990297343992831
369,1,9,2027,7,4,1.0
370,1,9,2027,7,10,1.0
371,1,9,2027,7,11,1.0
372,1,9,2027,7,12,1.0
373,1,9,2027,8,4,1.0
374,1,9,2027,8,10,1.0
375,1,9,2027,8,11,1.0
376,1,9,2027,8,12,1.0
377,1,9,2027,9,5,1.0
378,1,9,2027,9,6,1.0
379,1,9,2027,9,7,1.0
380,1,9,2027,10,9,1.0
381,1,9,2027,10,13,1.0
382,1,9,2027,11,9,1.0
383,1,9,2027,11,13,1.0
384,1,9,2028,4,1,0.965806256981784
