,CountryID,TechID,Year,TransTypeID,MassCatID,Description,AveCapacity,AveLoadFactor,AveAnnualKm,Investment,CostPerTrain,ExpectLife,FailSteep
138,9,2020,2061,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
139,9,2020,2062,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
140,9,2020,2063,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
141,9,2020,2064,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
142,9,2020,2065,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
143,9,2020,2066,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
144,9,2020,2067,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
145,9,2020,2068,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
146,9,2020,2069,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
147,9,2020,2070,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
148,9,2020,2071,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
149,9,2020,2072,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
150,9,2020,2073,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
151,9,2020,2074,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
152,9,2020,2075,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
153,9,2020,2076,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
154,9,2020,2077,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
155,9,2020,2078,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
156,9,2020,2079,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
157,9,2020,2080,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
158,9,2020,2081,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
159,9,2020,2082,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
160,9,2020,2083,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
161,9,2020,2084,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
162,9,2020,2085,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
163,9,2020,2086,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
164,9,2020,2087,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
165,9,2020,2088,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
166,9,2020,2089,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
167,9,2020,2090,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
168,9,2020,2091,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
169,9,2020,2092,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
170,9,2020,2093,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
171,9,2020,2094,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
172,9,2020,2095,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
173,9,2020,2096,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
174,9,2020,2097,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
175,9,2020,2098,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
176,9,2020,2099,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
177,9,2020,2100,1,31,Rail - Train - Light - Electricity - Standard 1 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
178,9,2030,2012,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
179,9,2030,2013,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
180,9,2030,2014,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
181,9,2030,2015,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
182,9,2030,2016,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
183,9,2030,2017,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
184,9,2030,2018,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
185,9,2030,2019,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
186,9,2030,2020,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
187,9,2030,2021,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
188,9,2030,2022,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
189,9,2030,2023,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
190,9,2030,2024,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
191,9,2030,2025,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
192,9,2030,2026,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
193,9,2030,2027,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
194,9,2030,2028,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
195,9,2030,2029,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
196,9,2030,2030,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
197,9,2030,2031,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
198,9,2030,2032,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
199,9,2030,2033,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
200,9,2030,2034,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
201,9,2030,2035,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
202,9,2030,2036,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
203,9,2030,2037,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
204,9,2030,2038,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
205,9,2030,2039,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
206,9,2030,2040,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
207,9,2030,2041,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
208,9,2030,2042,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
209,9,2030,2043,1,31,Rail - Train - Light - Electricity - Standard 2 - Passenger Transport,468,0.41,67041,78765000,2500000,40,10
