CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Under 10 km,10 km to 30 km,30 km and over,Work from home,Other
20043,00AHHD,00AHHD : West Thornton,Standard Table (ST) wards,SWARD,4405,1851,164,,893
20044,00AHHE,00AHHE : Woodside,Standard Table (ST) wards,SWARD,4106,2429,180,,1020
20045,00AJGC,00AJGC : Acton Central,Standard Table (ST) wards,SWARD,3891,1440,217,,985
20046,00AJGD,00AJGD : Cleveland,Standard Table (ST) wards,SWARD,3204,2189,241,,954
20047,00AJGE,00AJGE : Dormers Wells,Standard Table (ST) wards,SWARD,3403,970,123,,649
20048,00AJGF,00AJGF : Ealing Broadway,Standard Table (ST) wards,SWARD,2991,2922,274,,1024
20049,00AJGG,00AJGG : Ealing Common,Standard Table (ST) wards,SWARD,3164,2712,310,,975
20050,00AJGH,00AJGH : East Acton,Standard Table (ST) wards,SWARD,4436,1102,157,,894
20051,00AJGJ,00AJGJ : Elthorne,Standard Table (ST) wards,SWARD,3411,1992,220,,824
20052,00AJGK,00AJGK : Greenford Broadway,Standard Table (ST) wards,SWARD,3660,1345,146,,758
20053,00AJGL,00AJGL : Greenford Green,Standard Table (ST) wards,SWARD,3375,1795,166,,859
20054,00AJGM,00AJGM : Hanger Hill,Standard Table (ST) wards,SWARD,3260,2541,308,,1094
20055,00AJGN,00AJGN : Hobbayne,Standard Table (ST) wards,SWARD,3506,1648,171,,894
20056,00AJGP,00AJGP : Lady Margaret,Standard Table (ST) wards,SWARD,3702,1072,156,,689
20057,00AJGQ,00AJGQ : Northfield,Standard Table (ST) wards,SWARD,3186,2690,285,,868
20058,00AJGR,00AJGR : North Greenford,Standard Table (ST) wards,SWARD,3293,1988,178,,841
20059,00AJGS,00AJGS : Northolt Mandeville,Standard Table (ST) wards,SWARD,3156,1697,154,,719
20060,00AJGT,00AJGT : Northolt West End,Standard Table (ST) wards,SWARD,3337,1335,153,,722
20061,00AJGU,00AJGU : Norwood Green,Standard Table (ST) wards,SWARD,3088,957,119,,694
20062,00AJGW,00AJGW : Perivale,Standard Table (ST) wards,SWARD,3487,1888,173,,922
20063,00AJGX,00AJGX : South Acton,Standard Table (ST) wards,SWARD,3504,1722,215,,843
20064,00AJGY,00AJGY : Southall Broadway,Standard Table (ST) wards,SWARD,3406,888,191,,658
20065,00AJGZ,00AJGZ : Southall Green,Standard Table (ST) wards,SWARD,3513,899,157,,669
20066,00AJHA,00AJHA : Southfield,Standard Table (ST) wards,SWARD,3955,1953,294,,1050
20067,00AJHB,00AJHB : Walpole,Standard Table (ST) wards,SWARD,3231,2758,264,,855
20068,00AKGL,00AKGL : Bowes,Standard Table (ST) wards,SWARD,2755,2003,115,,710
20069,00AKGM,00AKGM : Bush Hill Park,Standard Table (ST) wards,SWARD,3142,2146,199,,972
20070,00AKGN,00AKGN : Chase,Standard Table (ST) wards,SWARD,3004,1719,160,,850
20071,00AKGP,00AKGP : Cockfosters,Standard Table (ST) wards,SWARD,2261,2093,164,,838
20072,00AKGQ,00AKGQ : Edmonton Green,Standard Table (ST) wards,SWARD,2853,1555,112,,694
20073,00AKGR,00AKGR : Enfield Highway,Standard Table (ST) wards,SWARD,3274,1667,125,,856
20074,00AKGS,00AKGS : Enfield Lock,Standard Table (ST) wards,SWARD,2636,2157,206,,808
20075,00AKGT,00AKGT : Grange,Standard Table (ST) wards,SWARD,2485,2114,152,,909
20076,00AKGU,00AKGU : Haselbury,Standard Table (ST) wards,SWARD,3244,1786,132,,761
20077,00AKGW,00AKGW : Highlands,Standard Table (ST) wards,SWARD,2742,2095,167,,894
20078,00AKGX,00AKGX : Jubilee,Standard Table (ST) wards,SWARD,2985,1578,137,,782
20079,00AKGY,00AKGY : Lower Edmonton,Standard Table (ST) wards,SWARD,2827,1558,101,,709
20080,00AKGZ,00AKGZ : Palmers Green,Standard Table (ST) wards,SWARD,3044,2275,126,,844
20081,00AKHA,00AKHA : Ponders End,Standard Table (ST) wards,SWARD,2775,1620,195,,737
20082,00AKHB,00AKHB : Southbury,Standard Table (ST) wards,SWARD,3053,1810,168,,725
20083,00AKHC,00AKHC : Southgate,Standard Table (ST) wards,SWARD,2197,2627,155,,823
20084,00AKHD,00AKHD : Southgate Green,Standard Table (ST) wards,SWARD,2701,2177,139,,901
20085,00AKHE,00AKHE : Town,Standard Table (ST) wards,SWARD,3445,2257,190,,1052
20086,00AKHF,00AKHF : Turkey Street,Standard Table (ST) wards,SWARD,2859,1622,165,,764
20087,00AKHG,00AKHG : Upper Edmonton,Standard Table (ST) wards,SWARD,3293,1424,111,,692
20088,00AKHH,00AKHH : Winchmore Hill,Standard Table (ST) wards,SWARD,2494,2448,172,,924
20089,00ALGP,00ALGP : Abbey Wood,Standard Table (ST) wards,SWARD,2387,1997,178,,640
20090,00ALGQ,00ALGQ : Blackheath Westcombe,Standard Table (ST) wards,SWARD,3387,1721,192,,834
20091,00ALGR,00ALGR : Charlton,Standard Table (ST) wards,SWARD,2935,1627,153,,738
20092,00ALGS,00ALGS : Coldharbour and New Eltham,Standard Table (ST) wards,SWARD,2334,2168,164,,803
20093,00ALGT,00ALGT : Eltham North,Standard Table (ST) wards,SWARD,2585,2181,177,,814
20094,00ALGU,00ALGU : Eltham South,Standard Table (ST) wards,SWARD,2086,2023,215,,686
20095,00ALGW,00ALGW : Eltham West,Standard Table (ST) wards,SWARD,2762,1588,140,,621
20096,00ALGX,00ALGX : Glyndon,Standard Table (ST) wards,SWARD,2749,1963,158,,727
20097,00ALGY,00ALGY : Greenwich West,Standard Table (ST) wards,SWARD,3717,814,149,,775
20098,00ALGZ,00ALGZ : Kidbrooke with Hornfair,Standard Table (ST) wards,SWARD,2708,1599,141,,662
20099,00ALHA,00ALHA : Middle Park and Sutcliffe,Standard Table (ST) wards,SWARD,2643,1621,156,,796
20100,00ALHB,00ALHB : Peninsula,Standard Table (ST) wards,SWARD,3035,1072,134,,644
20101,00ALHC,00ALHC : Plumstead,Standard Table (ST) wards,SWARD,2813,2051,181,,815
20102,00ALHD,00ALHD : Shooters Hill,Standard Table (ST) wards,SWARD,2958,2030,187,,777
20103,00ALHE,00ALHE : Thamesmead Moorings,Standard Table (ST) wards,SWARD,2055,2281,181,,650
20104,00ALHF,00ALHF : Woolwich Common,Standard Table (ST) wards,SWARD,2845,1722,198,,707
20105,00ALHG,00ALHG : Woolwich Riverside,Standard Table (ST) wards,SWARD,2458,1513,133,,602
20106,00AMGA,00AMGA : Brownswood,Standard Table (ST) wards,SWARD,3894,520,125,,695
20107,00AMGB,00AMGB : Cazenove,Standard Table (ST) wards,SWARD,2729,401,80,,581
20108,00AMGC,00AMGC : Chatham,Standard Table (ST) wards,SWARD,3065,368,92,,610
20109,00AMGD,00AMGD : Clissold,Standard Table (ST) wards,SWARD,3627,434,102,,764
20110,00AMGE,00AMGE : Dalston,Standard Table (ST) wards,SWARD,3237,396,81,,667
20111,00AMGF,00AMGF : De Beauvoir,Standard Table (ST) wards,SWARD,3049,315,84,,653
20112,00AMGG,00AMGG : Hackney Central,Standard Table (ST) wards,SWARD,2994,387,105,,640
20113,00AMGH,00AMGH : Hackney Downs,Standard Table (ST) wards,SWARD,3104,450,102,,599
20114,00AMGJ,00AMGJ : Haggerston,Standard Table (ST) wards,SWARD,2901,297,89,,617
20115,00AMGK,00AMGK : Hoxton,Standard Table (ST) wards,SWARD,3263,277,97,,594
20116,00AMGL,00AMGL : King's Park,Standard Table (ST) wards,SWARD,2866,432,87,,553
20117,00AMGM,00AMGM : Leabridge,Standard Table (ST) wards,SWARD,2955,392,70,,565
20118,00AMGN,00AMGN : Lordship,Standard Table (ST) wards,SWARD,3130,413,82,,614
20119,00AMGP,00AMGP : New River,Standard Table (ST) wards,SWARD,2712,362,65,,535
20120,00AMGQ,00AMGQ : Queensbridge,Standard Table (ST) wards,SWARD,2806,308,71,,628
20121,00AMGR,00AMGR : Springfield,Standard Table (ST) wards,SWARD,2285,314,72,,508
20122,00AMGS,00AMGS : Stoke Newington Central,Standard Table (ST) wards,SWARD,3410,433,103,,641
20123,00AMGT,00AMGT : Victoria,Standard Table (ST) wards,SWARD,3612,417,101,,637
20124,00AMGU,00AMGU : Wick,Standard Table (ST) wards,SWARD,2891,416,102,,544
20125,00ANGA,00ANGA : Addison,Standard Table (ST) wards,SWARD,4404,555,147,,847
20126,00ANGB,00ANGB : Askew,Standard Table (ST) wards,SWARD,4090,905,154,,900
20127,00ANGC,00ANGC : Avonmore and Brook Green,Standard Table (ST) wards,SWARD,4390,476,179,,836
20128,00ANGD,00ANGD : College Park and Old Oak,Standard Table (ST) wards,SWARD,2238,313,60,,417
20129,00ANGE,00ANGE : Fulham Broadway,Standard Table (ST) wards,SWARD,3897,407,109,,697
20130,00ANGF,00ANGF : Fulham Reach,Standard Table (ST) wards,SWARD,3966,596,137,,672
20131,00ANGG,00ANGG : Hammersmith Broadway,Standard Table (ST) wards,SWARD,3963,700,117,,803
20132,00ANGH,00ANGH : Munster,Standard Table (ST) wards,SWARD,4170,588,147,,759
20133,00ANGJ,00ANGJ : North End,Standard Table (ST) wards,SWARD,4711,495,155,,749
20134,00ANGK,00ANGK : Palace Riverside,Standard Table (ST) wards,SWARD,2462,455,110,,621
20135,00ANGL,00ANGL : Parsons Green and Walham,Standard Table (ST) wards,SWARD,3798,369,126,,860
20136,00ANGM,00ANGM : Ravenscourt Park,Standard Table (ST) wards,SWARD,3298,908,131,,939
20137,00ANGN,00ANGN : Sands End,Standard Table (ST) wards,SWARD,3634,342,130,,704
20138,00ANGP,00ANGP : Shepherd's Bush Green,Standard Table (ST) wards,SWARD,3794,576,129,,697
20139,00ANGQ,00ANGQ : Town,Standard Table (ST) wards,SWARD,4097,532,152,,692
20140,00ANGR,00ANGR : Wormholt and White City,Standard Table (ST) wards,SWARD,3333,589,122,,681
20141,00APGA,00APGA : Alexandra,Standard Table (ST) wards,SWARD,3147,1203,130,,996
20142,00APGB,00APGB : Bounds Green,Standard Table (ST) wards,SWARD,2472,1518,97,,691
20143,00APGC,00APGC : Bruce Grove,Standard Table (ST) wards,SWARD,3017,992,94,,651
20144,00APGD,00APGD : Crouch End,Standard Table (ST) wards,SWARD,4476,694,186,,1105
20145,00APGE,00APGE : Fortis Green,Standard Table (ST) wards,SWARD,3693,1024,137,,993
20146,00APGF,00APGF : Harringay,Standard Table (ST) wards,SWARD,3712,740,142,,670
20147,00APGG,00APGG : Highgate,Standard Table (ST) wards,SWARD,4129,549,189,,1005
20148,00APGH,00APGH : Hornsey,Standard Table (ST) wards,SWARD,3358,724,101,,706
20149,00APGJ,00APGJ : Muswell Hill,Standard Table (ST) wards,SWARD,3586,705,125,,958
20150,00APGK,00APGK : Noel Park,Standard Table (ST) wards,SWARD,3115,874,84,,568
20151,00APGL,00APGL : Northumberland Park,Standard Table (ST) wards,SWARD,2328,1052,97,,564
20152,00APGM,00APGM : St Ann's,Standard Table (ST) wards,SWARD,3642,785,107,,598
20153,00APGN,00APGN : Seven Sisters,Standard Table (ST) wards,SWARD,3491,602,118,,662
20154,00APGP,00APGP : Stroud Green,Standard Table (ST) wards,SWARD,4151,682,117,,828
20155,00APGQ,00APGQ : Tottenham Green,Standard Table (ST) wards,SWARD,3096,738,60,,617
20156,00APGR,00APGR : Tottenham Hale,Standard Table (ST) wards,SWARD,2780,997,87,,583
20157,00APGS,00APGS : West Green,Standard Table (ST) wards,SWARD,3222,850,103,,638
20158,00APGT,00APGT : White Hart Lane,Standard Table (ST) wards,SWARD,2446,885,83,,478
20159,00APGU,00APGU : Woodside,Standard Table (ST) wards,SWARD,2867,1247,88,,700
20160,00AQFY,00AQFY : Belmont,Standard Table (ST) wards,SWARD,2271,1505,148,,754
20161,00AQFZ,00AQFZ : Canons,Standard Table (ST) wards,SWARD,1953,1577,124,,845
20162,00AQGA,00AQGA : Edgware,Standard Table (ST) wards,SWARD,2250,1386,135,,719
20163,00AQGB,00AQGB : Greenhill,Standard Table (ST) wards,SWARD,2148,1796,118,,607
20164,00AQGC,00AQGC : Harrow on the Hill,Standard Table (ST) wards,SWARD,2551,1747,183,,712
20165,00AQGD,00AQGD : Harrow Weald,Standard Table (ST) wards,SWARD,2378,1334,133,,775
20166,00AQGE,00AQGE : Hatch End,Standard Table (ST) wards,SWARD,2103,1619,138,,816
20167,00AQGF,00AQGF : Headstone North,Standard Table (ST) wards,SWARD,2249,1606,169,,698
20168,00AQGG,00AQGG : Headstone South,Standard Table (ST) wards,SWARD,2286,1725,161,,653
20169,00AQGH,00AQGH : Kenton East,Standard Table (ST) wards,SWARD,2371,1201,104,,731
20170,00AQGJ,00AQGJ : Kenton West,Standard Table (ST) wards,SWARD,2510,1512,157,,764
