,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
3462,S01003472,64,159,8,16,31,47,3,57,42
3463,S01003463,67,180,5,11,30,39,8,60,42
3464,S01003488,105,178,30,22,48,34,7,89,33
3465,S01003458,56,127,14,19,28,68,27,56,30
3466,S01003457,130,185,19,29,35,35,9,76,44
3467,S01003442,100,124,26,20,35,25,14,66,25
3468,S01003445,30,126,8,15,31,59,18,101,40
3469,S01003443,56,190,9,26,30,43,21,93,32
3470,S01003417,88,118,32,17,60,36,13,23,59
3471,S01003409,56,187,18,6,60,45,10,18,44
3472,S01003391,83,131,17,24,39,36,16,32,37
3473,S01003395,35,109,16,19,52,40,22,18,47
3474,S01003392,66,126,19,18,63,42,19,31,34
3475,S01003422,97,120,16,29,45,20,12,45,43
3476,S01003406,68,108,21,17,48,27,24,41,27
3477,S01003426,157,204,29,21,73,38,20,34,37
3478,S01003387,42,191,3,19,49,35,8,73,27
3479,S01003389,52,294,8,16,58,38,8,74,36
3480,S01003353,79,221,26,22,39,38,13,52,31
3481,S01003347,79,137,18,34,24,27,15,84,28
3482,S01003378,58,122,13,36,31,47,12,101,27
3483,S01003385,44,176,12,16,86,34,16,22,63
3484,S01003371,49,159,14,15,54,37,12,26,52
3485,S01003370,22,138,11,12,52,41,15,20,74
3486,S01003380,40,123,13,18,55,45,10,23,59
3487,S01003355,84,93,24,23,58,48,16,43,51
3488,S01003342,61,169,17,32,34,30,13,73,43
3489,S01003356,108,169,21,30,37,39,14,77,21
3490,S01003368,34,171,14,9,58,8,6,3,164
3491,S01003415,122,107,16,14,28,23,14,98,36
3492,S01003399,64,172,20,31,40,21,5,19,44
3493,S01003447,118,120,36,17,48,15,19,95,47
3494,S01003416,194,143,31,38,47,12,17,21,56
3495,S01003366,15,218,4,6,81,6,4,5,77
3496,S01003358,73,342,5,9,76,6,2,10,46
3497,S01003433,14,157,5,6,43,23,6,8,117
3498,S01003449,36,217,5,13,47,27,2,25,77
3499,S01003446,32,133,5,6,27,12,3,7,65
3500,S01003410,20,121,6,17,42,14,15,12,110
3501,S01003439,258,193,58,27,40,5,10,5,30
3502,S01003373,151,366,17,9,57,12,4,15,54
3503,S01003382,68,143,23,20,59,31,19,37,27
3504,S01003408,61,93,13,15,34,33,7,60,28
3505,S01003403,28,128,5,12,36,20,13,28,98
3506,S01003430,20,131,5,13,45,25,12,21,104
3507,S01003423,24,188,1,4,66,8,3,10,50
3508,S01003450,91,236,16,13,68,21,10,25,40
3509,S01003438,54,273,5,7,93,21,3,18,87
3510,S01003425,26,140,7,12,53,44,3,21,117
3511,S01003429,9,83,1,6,22,12,8,12,176
3512,S01003432,19,96,6,29,52,34,3,17,149
3513,S01003437,17,101,6,6,40,10,5,8,83
3514,S01003453,27,158,3,11,71,41,3,15,54
3515,S01003487,44,127,4,18,35,37,9,32,145
3516,S01003485,21,77,8,15,49,36,6,15,170
3517,S01003468,32,79,12,6,20,29,3,19,116
3518,S01003474,15,70,2,8,27,30,6,10,125
3519,S01003464,10,138,2,10,39,33,7,9,158
3520,S01003454,28,69,4,14,31,42,6,25,61
3521,S01003473,102,202,38,23,53,27,22,16,66
3522,S01003500,58,89,5,14,18,34,7,68,26
3523,S01003494,129,129,30,20,31,22,7,24,50
3524,S01003506,22,159,11,11,68,41,6,24,138
3525,S01003490,69,99,17,30,37,38,14,26,52
3526,S01003475,86,145,20,8,39,23,9,23,89
3527,S01003507,7,101,6,2,30,13,1,12,104
3528,S01003482,72,137,11,21,27,22,14,53,25
3529,S01003519,63,179,13,13,35,19,7,32,44
3530,S01003537,102,180,26,16,41,33,10,27,40
3531,S01003517,28,213,3,7,54,28,8,31,64
3532,S01003530,21,165,7,13,87,31,8,14,80
3533,S01003540,112,257,21,26,37,28,17,62,37
3534,S01003543,67,103,11,12,23,42,15,78,19
3535,S01003553,47,122,7,18,32,29,16,71,21
3536,S01003564,62,115,15,30,35,44,24,75,31
3537,S01003579,28,103,6,21,28,27,6,84,16
3538,S01003561,70,149,17,14,39,42,15,73,38
3539,S01003581,80,202,14,18,48,28,19,33,39
3540,S01003592,66,161,12,28,42,44,11,110,32
3541,S01003566,52,126,15,5,60,23,4,15,105
3542,S01003585,75,161,10,19,30,18,12,21,16
3543,S01003604,45,175,16,12,59,23,16,26,34
3544,S01003574,38,201,16,11,113,38,13,12,76
3545,S01003582,109,145,11,27,20,20,7,41,18
3546,S01003629,110,73,38,34,32,29,29,28,32
3547,S01003621,137,67,71,38,48,32,40,24,43
3548,S01003595,64,142,9,23,22,37,20,122,29
3549,S01003624,71,88,28,35,36,43,37,65,39
3550,S01003599,79,63,30,30,37,32,26,12,29
3551,S01003666,40,42,18,25,27,30,18,70,37
3552,S01003636,128,83,50,44,46,38,23,48,38
3553,S01003653,25,30,18,39,29,35,31,41,35
3554,S01003640,107,76,43,35,32,40,27,42,44
3555,S01003669,57,49,29,32,32,26,23,7,19
3556,S01003657,93,61,19,36,29,51,30,35,38
3557,S01003687,56,153,12,19,31,28,7,78,16
3558,S01003710,79,150,27,24,40,44,22,70,23
3559,S01003680,60,50,24,34,32,41,31,50,21
3560,S01003672,48,60,16,24,22,41,24,104,26
3561,S01003677,42,22,33,34,34,42,30,26,34
3562,S01003686,59,89,30,16,58,73,20,75,31
3563,S01003691,35,107,22,17,86,96,30,52,23
3564,S01003699,11,63,8,8,69,145,26,38,14
3565,S01003682,40,64,20,11,61,122,29,26,32
3566,S01003695,65,109,27,20,39,41,24,65,26
3567,S01003700,86,79,40,26,71,63,52,38,29
3568,S01003688,84,85,27,30,50,57,35,48,28
3569,S01003670,98,95,25,41,45,47,18,69,26
3570,S01003656,45,25,13,12,20,34,16,51,25
3571,S01003664,68,47,32,16,35,25,13,37,14
3572,S01003665,54,140,12,24,27,24,2,87,13
3573,S01003673,88,80,14,17,19,40,5,70,19
3574,S01003652,45,73,12,21,35,35,13,40,23
3575,S01003650,62,98,16,19,33,45,17,52,18
3576,S01003643,24,137,1,14,46,66,15,59,27
3577,S01003663,66,127,16,16,30,39,18,57,22
3578,S01003600,159,113,48,31,29,42,18,30,33
3579,S01003619,134,81,35,33,24,38,17,81,25
3580,S01003625,61,160,9,18,44,32,14,69,26
3581,S01003617,82,223,24,24,34,29,16,84,31
3582,S01003596,121,329,21,8,34,17,19,14,15
3583,S01003638,69,82,24,16,47,53,17,25,43
3584,S01003623,41,24,36,10,56,106,44,17,7
3585,S01003594,45,107,27,9,76,99,19,15,18
3586,S01003620,53,130,29,9,63,87,18,24,38
3587,S01003589,63,131,32,12,88,80,28,18,47
3588,S01003568,42,107,19,4,95,59,9,6,30
3589,S01003547,31,201,3,8,57,46,7,29,58
3590,S01003555,19,97,8,6,58,44,6,9,75
3591,S01003526,29,148,12,9,83,49,12,14,88
3592,S01003544,29,64,4,6,44,38,7,9,45
3593,S01003554,64,144,14,9,70,37,5,19,66
3594,S01003509,44,131,14,7,70,51,13,6,82
3595,S01003520,89,137,17,6,83,32,5,12,48
3596,S01003521,23,75,1,6,28,12,4,3,97
3597,S01003501,23,108,3,7,42,19,2,12,99
3598,S01003504,10,113,1,5,44,21,5,22,98
3599,S01003513,17,98,9,5,27,28,6,11,111
3600,S01003484,40,123,7,6,49,42,7,18,130
3601,S01003497,61,158,11,8,82,43,20,27,87
3602,S01003470,50,205,6,16,72,18,11,26,71
3603,S01003478,34,169,13,14,73,20,11,27,68
3604,S01003503,48,147,7,7,49,33,10,7,65
3605,S01003466,49,157,6,14,49,41,8,49,37
3606,S01003460,53,157,12,6,60,33,10,14,76
3607,S01003479,67,172,14,10,81,20,13,21,69
3608,S01003451,57,180,11,18,51,24,19,25,61
3609,S01003469,82,191,18,22,69,41,26,56,47
3610,S01003465,47,247,6,9,108,36,6,39,28
3611,S01003477,36,341,9,16,107,39,9,23,44
3612,S01003496,57,205,9,13,91,28,13,13,56
3613,S01003525,66,201,18,11,86,44,7,23,70
3614,S01003508,130,169,47,17,40,21,15,40,29
3615,S01003499,124,239,23,20,68,40,15,20,57
3616,S01003481,112,194,20,14,85,31,13,52,65
3617,S01003552,41,231,11,9,110,35,8,13,72
3618,S01003511,53,146,21,12,103,74,16,9,60
3619,S01003536,71,120,16,8,119,71,18,13,64
3620,S01003558,44,150,14,8,101,63,17,16,42
3621,S01003542,69,155,15,5,81,66,10,8,24
3622,S01003545,37,178,14,6,81,58,13,9,40
3623,S01003522,27,170,5,14,90,33,10,11,70
3624,S01003514,39,100,6,13,48,26,7,12,127
3625,S01003614,88,50,25,13,26,39,18,5,16
3626,S01003591,55,62,34,8,60,118,35,18,10
3627,S01003587,33,22,28,4,56,140,33,17,19
3628,S01003576,38,176,15,2,80,40,5,16,35
3629,S01003597,63,35,47,13,53,36,20,10,13
3630,S01003609,98,68,39,16,73,99,25,23,31
3631,S01003498,165,125,49,21,57,50,23,26,36
3632,S01003560,101,98,50,11,70,86,32,8,30
3633,S01003524,76,183,18,12,108,77,17,17,40
3634,S01003539,94,153,31,13,89,89,18,6,16
3635,S01003569,100,17,38,12,21,82,18,11,3
3636,S01003527,51,48,29,8,48,106,23,13,21
3637,S01003532,98,69,40,19,59,118,28,13,14
3638,S01003493,64,141,13,12,46,38,12,50,24
3639,S01003480,106,118,15,12,33,20,12,42,28
3640,S01003518,88,239,23,16,54,45,13,70,43
3641,S01003535,41,172,14,14,33,43,20,48,33
3642,S01003586,124,97,35,22,28,53,20,38,45
3643,S01003570,62,31,36,12,62,79,18,14,12
3644,S01003559,26,30,21,9,62,112,31,14,21
3645,S01003575,80,111,25,34,27,41,19,65,37
3646,S01003556,30,26,14,10,34,99,24,9,9
3647,S01003571,41,125,8,22,44,52,21,85,34
3648,S01003584,28,86,6,14,23,47,5,93,31
3649,S01003562,42,71,6,19,27,43,10,76,19
3650,S01003593,84,84,35,23,27,47,30,37,50
3651,S01003531,65,163,13,24,29,38,19,53,30
3652,S01003608,47,58,28,13,30,31,15,23,20
3653,S01003615,24,79,5,7,24,34,5,63,8
3654,S01003610,30,119,8,11,47,52,10,64,30
3655,S01003633,60,188,23,17,85,57,15,33,19
3656,S01003654,46,86,14,26,35,50,27,60,40
3657,S01003590,25,191,4,14,31,41,14,67,27
3658,S01003685,51,27,31,22,21,37,21,13,15
3659,S01003678,57,24,36,20,41,46,26,32,16
3660,S01003658,70,33,33,14,52,88,25,16,37
3661,S01003667,52,29,23,20,43,101,38,9,26
3662,S01003679,110,130,26,33,42,71,19,63,35
3663,S01003639,75,54,39,18,53,40,33,28,32
3664,S01003674,99,83,37,28,33,52,19,24,37
3665,S01003603,85,121,25,20,21,47,20,65,29
3666,S01003622,104,45,60,28,41,42,21,18,27
3667,S01003605,60,121,15,7,31,30,12,61,26
3668,S01003642,99,60,46,28,39,46,23,13,34
3669,S01003690,220,124,64,39,46,21,20,49,22
3670,S01003681,113,53,40,14,33,32,17,10,16
3671,S01003662,81,77,32,19,28,37,11,30,15
3672,S01003630,107,82,49,26,37,39,18,33,17
3673,S01003645,61,28,21,19,32,36,27,14,17
3674,S01003631,95,50,43,29,33,57,21,18,19
3675,S01003651,92,87,37,27,30,40,22,26,27
3676,S01003646,53,151,6,13,19,38,7,101,28
3677,S01003618,118,44,42,21,36,54,21,12,24
3678,S01003661,16,119,9,15,83,79,18,19,23
3679,S01003675,18,150,11,6,68,68,12,17,17
3680,S01003612,136,91,35,12,50,42,23,11,39
3681,S01003632,52,72,8,9,52,76,10,21,43
3682,S01003635,102,158,17,12,41,14,8,13,25
3683,S01003668,95,42,45,25,24,35,25,19,30
3684,S01003671,79,49,33,28,34,28,14,36,33
3685,S01003676,49,114,13,13,36,34,12,63,25
3686,S01003659,59,170,15,19,66,62,10,31,32
3687,S01003648,68,135,18,24,42,39,16,18,66
3688,S01003637,144,53,46,26,24,31,21,19,40
3689,S01003647,112,41,26,32,42,36,19,17,27
3690,S01003701,196,201,51,19,54,43,13,34,15
3691,S01003692,138,98,50,35,65,61,28,26,25
3692,S01003683,80,30,37,22,56,40,15,8,24
3693,S01003689,34,44,5,21,18,38,15,45,25
3694,S01003684,89,43,39,44,33,38,22,21,29
3695,S01003696,139,88,46,40,59,68,33,36,32
3696,S01003693,38,38,13,22,24,29,24,29,34
3697,S01003694,75,32,52,28,30,83,31,14,25
3698,S01003697,41,26,40,11,60,112,45,18,16
3699,S01003698,115,51,67,34,39,55,36,21,29
3700,S01003702,35,56,12,23,26,47,22,89,28
3701,S01003703,109,98,32,28,37,55,31,66,26
3702,S01003706,34,53,9,20,13,39,20,104,21
3703,S01003705,30,86,15,26,25,53,13,108,20
3704,S01003716,52,53,4,23,10,38,13,85,27
3705,S01003708,28,127,4,20,11,28,3,88,16
3706,S01003711,41,93,9,27,13,44,16,122,26
3707,S01003714,34,92,4,24,25,73,22,81,27
3708,S01003713,60,63,18,25,16,37,9,63,21
3709,S01003718,15,47,4,14,24,37,16,83,22
3710,S01003717,31,62,5,24,18,35,22,94,31
3711,S01003709,128,157,27,23,29,22,13,73,21
3712,S01003707,17,65,8,37,12,39,18,121,37
3713,S01003712,83,76,20,31,40,62,26,64,26
3714,S01003715,17,60,5,11,57,80,19,64,19
3715,S01003704,70,57,20,34,28,36,22,39,22
3716,S01003739,39,60,28,2,59,35,5,17,12
3717,S01003728,38,51,10,5,53,43,5,12,17
3718,S01003746,45,38,29,10,59,76,23,15,22
3719,S01003745,39,55,21,12,56,80,23,25,18
3720,S01003720,73,80,30,10,97,87,21,17,16
3721,S01003741,36,85,19,12,82,91,14,8,19
3722,S01003724,68,66,34,16,51,57,31,26,19
3723,S01003735,49,28,30,11,64,71,25,4,12
3724,S01003738,28,33,20,10,66,66,20,6,18
3725,S01003733,53,53,17,22,39,78,32,20,20
3726,S01003737,64,25,29,6,38,54,25,21,13
3727,S01003734,51,22,24,22,41,60,27,15,20
3728,S01003736,40,52,25,17,63,82,24,31,15
3729,S01003725,35,59,27,9,55,55,10,6,16
3730,S01003729,42,54,14,24,52,60,19,24,12
3731,S01003726,30,48,22,11,62,64,14,18,24
3732,S01003727,15,38,13,11,51,68,16,41,21
3733,S01003732,66,44,34,13,48,83,32,13,19
3734,S01003731,54,56,12,3,44,45,13,17,20
3735,S01003730,29,41,12,10,26,65,12,54,16
3736,S01003723,33,22,19,8,64,38,15,8,24
3737,S01003719,32,20,25,7,64,47,16,3,12
3738,S01003721,72,58,26,13,70,66,14,17,13
3739,S01003722,116,91,36,15,60,72,24,19,17
3740,S01003740,34,32,24,5,59,53,16,5,16
3741,S01003742,27,31,15,7,52,41,21,7,14
3742,S01003744,38,33,22,13,63,46,16,7,16
3743,S01003747,82,39,49,13,92,70,34,20,20
3744,S01003743,20,39,34,3,67,48,16,5,19
3745,S01003748,41,46,20,4,46,49,15,6,15
3746,S01003749,34,50,37,9,53,91,22,22,16
3747,S01003750,40,40,25,3,62,52,12,13,20
3748,S01003754,63,75,30,14,57,81,24,31,20
3749,S01003755,28,65,19,11,56,66,24,28,14
3750,S01003751,34,133,14,6,102,63,17,31,21
3751,S01003759,48,43,33,6,69,47,13,10,11
3752,S01003760,30,45,26,4,73,77,13,24,19
3753,S01003756,72,44,45,4,68,52,15,11,20
3754,S01003772,32,35,30,3,61,46,12,3,11
3755,S01003764,65,24,37,15,60,87,25,25,11
3756,S01003766,70,51,25,3,56,39,7,21,21
3757,S01003767,50,69,35,6,52,39,23,15,14
3758,S01003771,35,40,29,8,65,66,19,4,13
3759,S01003875,9,21,19,6,42,47,22,6,14
3760,S01003888,15,28,19,6,60,76,11,8,11
3761,S01003899,55,34,49,7,79,60,22,7,15
3762,S01003883,27,25,26,9,39,53,21,9,7
3763,S01003857,38,33,28,7,66,78,27,10,8
3764,S01003782,13,31,12,4,55,58,22,6,15
3765,S01003900,70,111,24,13,61,43,14,24,24
3766,S01003894,67,110,22,11,61,67,17,21,25
3767,S01003887,113,43,31,10,34,74,16,46,15
3768,S01003892,30,27,27,7,50,72,11,25,5
3769,S01003898,94,27,62,5,54,53,22,5,11
3770,S01003890,48,19,45,7,56,61,15,6,12
3771,S01003896,41,24,50,7,45,62,24,4,14
3772,S01003891,38,30,28,17,67,75,27,16,13
3773,S01003886,23,16,11,9,43,58,28,15,8
3774,S01003882,51,68,16,12,32,37,14,22,11
3775,S01003885,32,23,22,21,49,59,26,27,5
3776,S01003762,36,43,31,8,106,82,21,8,14
3777,S01003780,26,30,22,2,81,117,24,9,11
3778,S01003865,22,43,17,8,62,85,23,25,20
3779,S01003874,24,28,28,9,69,55,18,9,18
3780,S01003850,11,77,4,1,61,72,5,12,8
3781,S01003878,87,47,32,23,51,81,30,34,22
3782,S01003861,25,129,14,6,92,77,17,15,14
3783,S01003856,23,61,9,11,47,61,19,41,16
3784,S01003858,5,25,15,16,38,61,19,26,15
3785,S01003859,17,20,20,5,50,70,15,8,8
3786,S01003863,27,14,31,5,69,95,12,12,16
3787,S01003851,34,26,42,7,59,105,28,8,16
3788,S01003830,35,62,13,22,36,80,22,62,22
3789,S01003838,13,15,11,4,31,83,15,21,11
3790,S01003844,25,43,19,5,106,81,22,14,11
3791,S01003836,10,135,16,3,77,33,7,9,8
3792,S01003828,19,27,28,8,66,66,21,2,13
3793,S01003816,25,89,33,6,88,97,18,15,7
3794,S01003819,22,22,20,8,63,72,18,6,9
3795,S01003811,28,34,27,7,68,72,24,4,20
3796,S01003804,24,77,11,12,40,59,25,25,9
3797,S01003784,20,47,16,6,54,68,16,8,9
3798,S01003778,16,28,20,1,58,58,9,5,10
3799,S01003792,13,110,12,8,83,60,13,12,15
3800,S01003781,20,73,19,2,73,64,17,9,13
3801,S01003787,38,26,31,7,52,61,23,6,11
3802,S01003788,42,24,67,10,52,64,17,10,15
3803,S01003785,51,63,49,4,65,81,29,13,10
3804,S01003789,21,21,20,3,34,71,11,9,5
3805,S01003786,60,36,43,8,74,102,34,6,18
3806,S01003801,61,42,42,23,49,57,25,33,23
3807,S01003798,44,30,52,8,63,89,21,9,15
3808,S01003796,40,60,11,10,37,47,14,58,19
3809,S01003790,21,26,9,12,42,50,26,38,15
3810,S01003794,57,82,47,10,61,45,20,6,12
3811,S01003797,78,148,25,15,81,73,29,21,23
3812,S01003802,26,37,33,11,69,61,35,14,21
3813,S01003806,68,23,31,13,34,43,36,18,19
3814,S01003793,68,45,10,9,33,41,10,33,14
3815,S01003791,24,102,8,4,80,58,2,22,20
3816,S01003813,46,26,46,12,62,100,35,12,21
3817,S01003807,35,38,26,15,72,117,34,10,13
3818,S01003799,19,38,13,11,66,112,25,11,15
3819,S01003853,59,204,8,9,57,30,19,22,42
3820,S01003832,44,119,43,7,70,53,15,20,29
3821,S01003839,45,103,23,15,41,53,9,28,19
3822,S01003825,10,3,3,4,47,154,5,6,11
3823,S01003822,34,40,17,9,42,46,21,18,14
3824,S01003814,40,47,53,12,84,58,17,7,18
3825,S01003810,58,34,67,12,63,58,28,7,23
3826,S01003815,63,129,25,11,64,35,14,13,31
3827,S01003820,102,130,33,15,70,54,16,22,40
3828,S01003823,107,65,33,14,65,85,19,12,23
3829,S01003805,63,76,27,20,53,83,22,55,28
3830,S01003812,141,76,46,21,45,53,33,30,26
3831,S01003817,105,44,55,23,42,56,22,45,27
3832,S01003829,44,19,26,24,29,50,25,20,25
3833,S01003818,80,38,22,18,39,55,31,30,33
3834,S01003827,76,65,37,13,84,56,27,16,21
3835,S01003833,100,138,19,10,46,23,10,15,17
3836,S01003837,121,51,55,16,59,36,22,23,20
3837,S01003845,75,122,28,19,79,54,17,50,43
3838,S01003824,39,138,13,8,58,44,8,12,31
3839,S01003849,93,173,13,8,45,39,10,53,22
3840,S01003855,60,93,18,17,47,78,18,91,21
3841,S01003862,19,52,7,6,23,41,13,64,21
3842,S01003860,41,133,9,5,30,38,1,68,22
3843,S01003835,23,91,11,3,53,55,8,7,9
3844,S01003848,15,37,32,7,71,82,22,8,11
3845,S01003840,33,80,16,5,69,67,18,14,3
3846,S01003834,32,78,16,11,53,68,20,12,10
3847,S01003852,20,48,15,3,50,47,22,11,13
3848,S01003783,37,66,21,13,89,91,22,23,17
3849,S01003809,44,34,14,15,40,69,34,25,18
3850,S01003831,26,81,21,5,76,66,10,10,9
3851,S01003821,51,70,12,15,44,81,27,25,24
3852,S01003775,47,46,35,8,80,67,18,10,21
3853,S01003777,47,41,31,9,90,92,30,8,20
3854,S01003803,31,41,19,9,72,50,16,7,22
3855,S01003795,18,31,20,6,59,51,26,4,17
3856,S01003842,28,26,25,9,41,69,17,6,12
3857,S01003847,54,33,33,9,32,52,18,17,13
3858,S01003854,59,52,18,17,59,47,8,17,13
3859,S01003843,30,24,22,11,64,65,17,8,21
3860,S01003770,24,42,30,4,66,67,12,7,11
3861,S01003758,55,58,33,10,67,68,19,10,20
3862,S01003769,63,44,27,7,49,69,13,17,13
3863,S01003776,30,36,24,4,39,66,14,9,15
3864,S01003753,75,68,51,7,84,72,17,16,17
3865,S01003757,33,34,36,15,46,50,14,8,10
3866,S01003773,40,56,21,10,58,63,21,16,18
3867,S01003774,36,40,20,4,61,64,13,12,13
3868,S01003765,46,54,26,10,57,66,13,36,14
3869,S01003763,62,68,26,13,84,72,23,24,21
3870,S01003761,52,58,22,7,90,70,23,16,21
3871,S01003768,35,33,18,2,53,54,17,9,20
3872,S01003752,53,60,24,10,90,55,16,8,30
3873,S01003779,50,30,25,4,43,56,11,6,12
3874,S01003911,38,28,10,13,45,65,17,4,21
3875,S01003826,54,75,25,13,47,61,18,19,18
3876,S01003800,77,32,18,9,37,58,22,24,10
3877,S01003808,40,80,22,14,28,57,14,22,14
3878,S01003866,44,52,21,15,66,77,23,16,16
3879,S01003914,70,47,33,23,60,71,27,13,22
3880,S01003871,54,41,41,10,76,77,13,12,16
3881,S01003841,50,51,24,3,60,38,14,11,21
3882,S01003933,48,48,22,7,56,60,13,13,19
3883,S01003946,66,58,35,10,73,73,17,17,18
3884,S01003869,47,66,30,8,64,57,14,10,20
3885,S01003846,66,65,50,10,72,52,24,18,17
3886,S01003955,78,64,31,12,46,52,13,9,21
3887,S01003948,33,45,30,5,64,62,14,8,11
3888,S01003956,27,48,14,6,46,56,12,31,13
3889,S01003963,22,29,24,7,48,59,12,10,5
3890,S01003953,50,42,32,5,33,45,16,14,15
3891,S01003913,21,43,22,3,58,73,29,13,23
3892,S01003902,57,48,45,8,70,86,20,23,19
3893,S01003873,48,55,42,16,103,77,28,20,19
3894,S01003915,27,47,20,10,59,53,19,6,23
3895,S01003938,14,42,15,6,55,54,12,9,13
3896,S01003927,33,25,22,6,70,72,23,10,10
3897,S01003918,40,53,22,9,52,105,23,28,14
3898,S01003936,21,42,29,8,96,86,20,10,17
3899,S01003932,37,47,22,8,84,84,30,11,11
3900,S01003872,17,34,32,6,88,91,32,10,11
3901,S01003867,85,54,41,14,74,86,38,23,17
3902,S01003870,51,29,30,15,57,73,39,6,20
3903,S01003877,11,30,19,6,51,61,11,8,18
3904,S01003889,43,29,22,15,43,56,13,10,19
3905,S01003895,34,27,26,11,47,89,16,10,8
3906,S01003884,47,41,25,15,48,67,25,30,7
3907,S01003879,44,22,37,5,46,75,24,6,2
3908,S01003910,21,13,11,15,32,71,28,25,20
3909,S01003908,42,32,18,12,44,80,32,35,19
3910,S01003907,101,96,26,19,42,39,21,30,33
3911,S01003906,53,59,29,12,48,54,26,29,17
3912,S01003904,65,107,29,6,62,48,15,21,19
3913,S01003909,29,25,33,8,59,68,24,12,11
3914,S01003912,23,56,18,7,52,68,26,12,19
3915,S01003901,39,33,26,7,45,51,17,12,10
3916,S01003897,71,33,60,5,51,55,18,11,8
3917,S01003893,41,40,39,6,50,52,14,13,17
3918,S01003880,70,48,40,16,73,82,27,18,16
3919,S01003903,16,19,17,6,45,86,18,5,16
3920,S01003881,33,36,30,9,66,80,21,11,18
3921,S01003868,29,26,25,9,57,60,29,5,14
3922,S01003864,53,39,49,12,96,75,34,6,14
3923,S01003905,39,29,32,7,86,92,28,9,15
3924,S01003876,25,37,17,7,52,69,28,7,9
3925,S01003916,30,44,19,11,83,73,22,13,15
3926,S01003917,52,60,31,10,74,80,19,34,17
3927,S01003928,29,41,15,21,38,75,44,53,20
3928,S01003926,30,51,12,15,35,55,15,35,14
3929,S01003922,29,61,13,8,44,87,20,32,20
3930,S01003931,20,73,23,16,63,70,34,44,17
3931,S01003921,108,44,31,8,57,50,39,11,22
3932,S01003929,28,21,17,17,46,33,33,10,10
3933,S01003930,30,46,21,19,61,70,22,18,21
3934,S01003924,41,66,11,7,33,37,11,28,11
3935,S01003920,40,35,27,12,42,72,18,21,8
3936,S01003923,26,39,13,10,43,80,22,32,11
3937,S01003925,30,55,18,4,53,89,19,24,13
3938,S01003919,70,70,37,9,55,32,12,11,14
3939,S01003934,42,58,44,11,60,94,34,13,12
3940,S01003935,37,57,17,16,69,57,17,36,19
3941,S01003947,35,27,17,8,55,40,20,11,9
3942,S01003941,15,32,25,5,60,60,18,9,9
3943,S01003939,31,39,39,7,56,42,28,6,13
3944,S01003937,56,59,24,16,46,63,28,36,18
3945,S01003942,47,41,23,12,55,66,15,35,19
3946,S01003940,42,83,15,7,68,76,13,55,18
3947,S01003949,32,27,24,9,62,50,20,7,15
3948,S01003943,81,42,33,6,41,68,14,19,8
3949,S01003944,59,48,32,25,39,45,23,14,8
3950,S01003945,37,33,28,5,66,68,21,11,13
3951,S01003959,63,52,32,12,71,61,16,16,18
3952,S01003954,39,37,41,3,53,37,12,11,14
3953,S01003950,63,44,28,8,42,56,18,25,11
3954,S01003951,53,32,47,3,43,34,9,12,12
3955,S01003952,32,23,25,4,51,49,15,6,13
3956,S01003957,72,55,24,9,50,60,9,12,19
3957,S01003965,45,45,32,6,54,41,12,9,15
3958,S01003966,84,57,51,13,83,80,18,16,18
3959,S01003958,76,47,45,8,57,58,18,20,13
3960,S01003962,44,71,24,5,42,44,14,26,10
3961,S01003964,44,29,24,7,65,44,17,2,7
3962,S01003961,65,27,37,17,52,37,11,16,11
3963,S01003960,60,66,35,8,79,77,26,22,12
3964,S01003968,98,71,53,15,81,66,21,17,21
3965,S01003969,68,65,23,13,67,54,27,8,22
3966,S01003972,35,41,23,15,51,51,26,8,20
3967,S01003971,63,50,25,11,42,63,15,13,15
3968,S01003980,16,22,23,10,42,63,19,9,7
3969,S01003981,55,44,28,13,45,45,16,11,13
3970,S01003978,77,63,14,11,40,49,16,17,7
3971,S01003977,22,68,6,16,30,58,12,36,7
3972,S01003976,52,87,25,9,48,63,18,19,17
3973,S01003979,55,24,31,16,40,58,19,11,10
3974,S01003982,45,72,16,12,50,73,18,18,15
3975,S01003984,51,76,27,8,53,47,15,11,12
3976,S01003986,58,44,19,13,39,50,19,21,10
3977,S01003985,50,50,27,16,38,79,21,57,13
3978,S01003983,27,37,33,11,68,77,23,8,14
3979,S01003987,13,25,15,7,43,62,14,11,4
3980,S01003989,49,43,42,8,69,61,37,9,21
3981,S01003991,30,52,18,8,50,63,24,4,7
3982,S01003994,42,33,18,3,60,70,20,14,15
3983,S01004008,39,24,27,11,50,62,19,11,18
3984,S01004010,45,38,36,8,88,69,17,7,23
3985,S01004001,55,46,16,8,50,87,23,31,8
3986,S01003996,20,22,17,11,51,52,19,8,6
3987,S01003995,38,62,44,16,72,87,30,16,8
3988,S01004000,85,45,34,13,71,62,26,12,12
3989,S01003992,70,56,41,9,81,85,30,17,12
3990,S01003975,32,44,24,7,64,62,29,4,10
3991,S01003993,27,39,33,9,57,64,13,2,19
3992,S01004002,120,107,46,14,65,63,18,13,26
3993,S01004004,49,61,42,19,58,63,21,34,10
