,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
118,S01000119,299,118,44,11,19,28,35
119,S01000120,236,89,48,4,16,18,34
120,S01000121,219,162,48,1,18,24,24
121,S01000122,183,170,78,0,6,20,34
122,S01000123,53,83,247,9,8,23,37
123,S01000124,467,162,65,11,13,35,44
124,S01000125,414,102,32,2,18,26,40
125,S01000126,297,118,36,11,17,25,42
126,S01000127,321,131,79,6,11,28,30
127,S01000128,767,346,56,11,24,71,70
128,S01000129,311,85,37,9,8,26,36
129,S01000130,298,154,65,18,11,22,43
130,S01000131,278,84,58,6,18,26,40
131,S01000132,362,117,48,13,20,22,49
132,S01000133,169,157,99,0,6,21,36
133,S01000134,184,154,70,2,8,19,32
134,S01000135,248,61,44,7,9,21,33
135,S01000136,177,135,48,3,5,23,36
136,S01000137,360,131,54,11,20,16,40
137,S01000138,348,172,46,11,11,30,40
138,S01000139,132,163,104,6,9,23,36
139,S01000140,177,189,185,9,7,20,60
140,S01000141,383,143,46,3,12,30,43
141,S01000142,197,149,68,7,12,18,36
142,S01000143,68,62,236,16,11,24,17
143,S01000144,243,118,54,11,10,30,21
144,S01000145,160,171,132,6,8,14,54
145,S01000146,448,139,81,21,15,38,56
146,S01000147,246,125,70,18,21,16,45
147,S01000148,171,115,56,4,7,13,31
148,S01000149,439,143,67,19,13,29,46
149,S01000150,166,134,51,0,10,13,29
150,S01000151,149,175,48,3,11,16,32
151,S01000152,356,146,79,10,18,33,36
152,S01000153,212,90,45,13,12,24,35
153,S01000154,102,157,52,4,5,8,31
154,S01000155,167,181,51,7,10,25,43
155,S01000156,462,81,55,17,26,48,42
156,S01000157,119,136,35,5,5,18,27
157,S01000158,237,189,49,6,12,25,49
158,S01000159,129,124,367,44,17,27,49
159,S01000160,174,194,82,4,1,9,52
160,S01000161,548,103,61,8,18,30,46
161,S01000162,236,156,64,9,12,14,42
162,S01000163,201,233,117,8,23,32,46
163,S01000164,131,81,30,4,9,12,32
164,S01000165,248,139,47,1,8,19,43
165,S01000166,527,158,78,12,30,75,47
166,S01000167,135,176,63,3,3,16,24
167,S01000168,227,215,77,8,15,25,48
168,S01000169,191,165,34,10,12,15,42
169,S01000170,508,124,82,13,19,32,57
170,S01000171,98,194,334,23,7,23,49
171,S01000172,144,105,34,4,8,21,28
172,S01000173,230,169,41,7,6,17,40
173,S01000174,99,123,311,23,20,35,46
174,S01000175,213,95,55,6,8,16,28
175,S01000176,368,110,63,12,11,31,34
176,S01000177,199,101,50,5,12,20,43
177,S01000178,201,171,61,2,9,20,44
178,S01000179,148,127,45,5,3,21,33
179,S01000180,177,155,64,7,13,9,34
