GEO_CODE,TotalCars
S01000778,299.0
S01000779,315.0
S01000780,333.0
S01000781,554.0
S01000782,374.0
S01000783,304.0
S01000784,505.0
S01000785,413.0
S01000786,467.0
S01000787,333.0
S01000788,393.0
S01000789,303.0
S01000790,373.0
S01000791,264.0
S01000792,398.0
S01000793,290.0
S01000794,335.0
S01000795,355.0
S01000796,352.0
S01000797,244.0
S01000798,175.0
S01000799,319.0
S01000800,558.0
S01000801,370.0
S01000802,446.0
S01000803,572.0
S01000804,513.0
S01000805,492.0
S01000806,496.0
S01000807,331.0
S01000808,439.0
S01000809,265.0
S01000810,384.0
S01000811,429.0
S01000812,200.0
S01000813,349.0
S01000814,215.0
S01000815,135.0
S01000816,224.0
S01000817,281.0
S01000818,367.0
S01000819,454.0
S01000820,359.0
S01000821,313.0
S01000822,245.0
S01000823,166.0
S01000824,319.0
S01000825,408.0
S01000826,243.0
S01000827,396.0
S01000828,480.0
S01000829,394.0
S01000830,434.0
S01000831,494.0
S01000832,463.0
S01000833,223.0
S01000834,350.0
S01000835,249.0
S01000836,214.0
S01000837,297.0
S01000838,334.0
S01000839,439.0
S01000840,202.0
S01000841,217.0
S01000842,532.0
S01000843,431.0
S01000844,276.0
S01000845,274.0
S01000846,198.0
S01000847,416.0
S01000848,361.0
S01000849,215.0
S01000850,221.0
S01000851,380.0
S01000852,286.0
S01000853,204.0
S01000854,325.0
S01000855,413.0
S01000856,220.0
S01000857,243.0
S01000858,368.0
S01000859,508.0
S01000860,293.0
S01000861,336.0
S01000862,322.0
S01000863,232.0
S01000864,314.0
S01000865,253.0
S01000866,320.0
S01000867,253.0
S01000868,216.0
S01000869,160.0
S01000870,216.0
S01000871,409.0
S01000872,359.0
S01000873,398.0
S01000874,206.0
S01000875,296.0
S01000876,336.0
S01000877,275.0
S01000878,311.0
S01000879,506.0
S01000880,460.0
S01000881,289.0
S01000882,429.0
S01000883,430.0
S01000884,267.0
S01000885,321.0
S01000886,330.0
S01000887,385.0
S01000888,324.0
S01000889,357.0
S01000890,322.0
S01000891,520.0
S01000892,360.0
S01000893,443.0
S01000894,341.0
S01000895,538.0
S01000896,342.0
S01000897,354.0
S01000898,315.0
S01000899,313.0
S01000900,385.0
S01000901,347.0
S01000902,460.0
S01000903,487.0
S01000904,362.0
S01000905,404.0
S01000906,259.0
S01000907,334.0
S01000908,294.0
S01000909,533.0
S01000910,425.0
S01000911,575.0
S01000912,359.0
S01000913,392.0
S01000914,596.0
S01000915,483.0
S01000916,493.0
S01000917,408.0
S01000918,350.0
S01000919,294.0
S01000920,297.0
S01000921,352.0
S01000922,429.0
S01000923,325.0
S01000924,319.0
S01000925,459.0
S01000926,218.0
S01000927,320.0
S01000928,468.0
S01000929,119.0
S01000930,161.0
S01000931,240.0
S01000932,400.0
S01000933,361.0
S01000934,299.0
S01000935,378.0
S01000936,379.0
S01000937,204.0
S01000938,276.0
S01000939,311.0
S01000940,431.0
S01000941,200.0
S01000942,448.0
S01000943,500.0
S01000944,400.0
S01000945,353.0
S01000946,305.0
S01000947,329.0
S01000948,420.0
S01000949,372.0
S01000950,415.0
S01000951,276.0
S01000952,411.0
S01000953,507.0
S01000954,438.0
S01000955,295.0
S01000956,281.0
S01000957,318.0
S01000958,311.0
S01000959,357.0
S01000960,236.0
S01000961,361.0
S01000962,252.0
S01000963,253.0
S01000964,510.0
S01000965,184.0
S01000966,363.0
S01000967,196.0
S01000968,540.0
S01000969,357.0
S01000970,281.0
S01000971,271.0
S01000972,503.0
S01000973,216.0
S01000974,403.0
S01000975,406.0
S01000976,288.0
S01000977,371.0
S01000978,412.0
S01000979,391.0
S01000980,396.0
S01000981,413.0
S01000982,365.0
S01000983,302.0
S01000984,378.0
S01000985,245.0
S01000986,276.0
S01000987,369.0
S01000988,304.0
S01000989,520.0
S01000990,380.0
S01000991,284.0
S01000992,392.0
S01000993,452.0
S01000994,477.0
S01000995,419.0
S01000996,439.0
S01000997,518.0
S01000998,228.0
S01000999,335.0
S01001000,219.0
S01001001,338.0
S01001002,304.0
S01001003,490.0
S01001004,358.0
S01001005,438.0
S01001006,382.0
S01001007,294.0
S01001008,325.0
S01001009,340.0
S01001010,282.0
S01001011,369.0
S01001012,421.0
S01001013,313.0
S01001014,199.0
S01001015,210.0
S01001016,452.0
S01001017,264.0
S01001018,290.0
S01001019,206.0
S01001020,155.0
S01001021,393.0
S01001022,358.0
S01001023,610.0
S01001024,391.0
S01001025,553.0
S01001026,487.0
S01001027,425.0
S01001028,232.0
S01001029,176.0
S01001030,441.0
S01001031,322.0
S01001032,181.0
S01001033,167.0
S01001034,199.0
S01001035,156.0
S01001036,163.0
S01001037,262.0
S01001038,430.0
S01001039,360.0
S01001040,355.0
S01001041,376.0
S01001042,458.0
S01001043,317.0
S01001044,524.0
S01001045,330.0
S01001046,197.0
S01001047,435.0
S01001048,325.0
S01001049,237.0
S01001050,550.0
S01001051,248.0
S01001052,203.0
S01001053,436.0
S01001054,370.0
S01001055,365.0
S01001056,305.0
S01001057,360.0
S01001058,315.0
S01001059,218.0
S01001060,305.0
S01001061,312.0
S01001062,331.0
S01001063,459.0
S01001064,333.0
S01001065,307.0
S01001066,433.0
S01001067,493.0
S01001068,566.0
S01001069,538.0
S01001070,494.0
S01001071,370.0
S01001072,464.0
S01001073,587.0
S01001074,300.0
S01001075,430.0
S01001076,469.0
S01001077,417.0
S01001078,443.0
S01001079,285.0
S01001080,290.0
S01001081,314.0
S01001082,410.0
S01001083,338.0
S01001084,509.0
S01001085,284.0
S01001086,188.0
S01001087,182.0
S01001088,322.0
S01001089,407.0
S01001090,425.0
S01001091,229.0
S01001092,326.0
S01001093,211.0
S01001094,494.0
S01001095,214.0
S01001096,303.0
S01001097,319.0
S01001098,376.0
S01001099,226.0
S01001100,276.0
S01001101,193.0
S01001102,166.0
S01001103,404.0
S01001104,166.0
S01001105,436.0
S01001106,403.0
S01001107,333.0
S01001108,136.0
S01001109,196.0
S01001110,187.0
S01001111,258.0
S01001112,330.0
S01001113,200.0
S01001114,145.0
S01001115,177.0
S01001116,160.0
S01001117,130.0
S01001118,240.0
S01001119,368.0
S01001120,318.0
S01001121,230.0
S01001122,184.0
S01001123,440.0
S01001124,242.0
S01001125,135.0
S01001126,422.0
S01001127,277.0
S01001128,360.0
S01001129,249.0
S01001130,233.0
S01001131,185.0
S01001132,265.0
S01001133,307.0
S01001134,515.0
S01001135,118.0
S01001136,170.0
S01001137,177.0
S01001138,230.0
S01001139,255.0
S01001140,273.0
S01001141,132.0
S01001142,516.0
S01001143,494.0
S01001144,165.0
S01001145,191.0
S01001146,472.0
S01001147,152.0
S01001148,438.0
S01001149,241.0
S01001150,171.0
S01001151,140.0
S01001152,284.0
S01001153,321.0
S01001154,440.0
S01001155,370.0
S01001156,202.0
S01001157,447.0
S01001158,154.0
S01001159,393.0
S01001160,156.0
S01001161,239.0
S01001162,450.0
S01001163,133.0
S01001164,157.0
S01001165,218.0
S01001166,198.0
S01001167,500.0
S01001168,224.0
S01001169,214.0
S01001170,167.0
S01001171,239.0
S01001172,152.0
S01001173,223.0
S01001174,174.0
S01001175,200.0
S01001176,261.0
S01001177,184.0
S01001178,279.0
S01001179,527.0
S01001180,168.0
S01001181,446.0
S01001182,258.0
S01001183,212.0
S01001184,394.0
S01001185,360.0
S01001186,375.0
S01001187,237.0
S01001188,222.0
S01001189,376.0
S01001190,440.0
S01001191,191.0
S01001192,198.0
S01001193,463.0
S01001194,510.0
S01001195,347.0
S01001196,260.0
S01001197,152.0
S01001198,200.0
S01001199,203.0
S01001200,189.0
S01001201,201.0
S01001202,167.0
S01001203,193.0
S01001204,454.0
S01001205,310.0
S01001206,234.0
S01001207,226.0
S01001208,132.0
S01001209,213.0
S01001210,201.0
S01001211,418.0
S01001212,145.0
S01001213,183.0
S01001214,232.0
S01001215,353.0
S01001216,266.0
S01001217,185.0
S01001218,420.0
S01001219,298.0
S01001220,160.0
S01001221,275.0
S01001222,205.0
S01001223,396.0
S01001224,194.0
S01001225,468.0
S01001226,206.0
S01001227,338.0
S01001228,351.0
S01001229,353.0
S01001230,161.0
S01001231,206.0
S01001232,363.0
S01001233,244.0
S01001234,157.0
S01001235,217.0
S01001236,239.0
S01001237,205.0
S01001238,213.0
S01001239,154.0
S01001240,253.0
S01001241,223.0
S01001242,394.0
S01001243,79.0
S01001244,321.0
S01001245,161.0
S01001246,335.0
S01001247,226.0
S01001248,460.0
S01001249,197.0
S01001250,305.0
S01001251,163.0
S01001252,191.0
S01001253,101.0
S01001254,192.0
S01001255,248.0
S01001256,236.0
S01001257,213.0
S01001258,120.0
S01001259,340.0
S01001260,115.0
S01001261,184.0
S01001262,436.0
S01001263,177.0
S01001264,242.0
S01001265,278.0
S01001266,323.0
S01001267,310.0
S01001268,343.0
S01001269,260.0
S01001270,193.0
S01001271,183.0
S01001272,247.0
S01001273,239.0
S01001274,197.0
S01001275,205.0
S01001276,281.0
S01001277,256.0
S01001278,304.0
S01001279,267.0
S01001280,188.0
S01001281,237.0
S01001282,319.0
S01001283,215.0
S01001284,351.0
S01001285,274.0
S01001286,237.0
S01001287,253.0
